id,marketcap
040f0133-1654-4e4e-85ac-417155ca814f,3715792965
0432c2ca-0dc4-44c5-bf0c-a2feaa4b3130,5443743
04ad4e18-9643-458b-b805-e2d767a161e4,7516322
050cd820-2c82-4222-892c-e6f2859625c7,1867185
0b3d4b05-d9eb-490e-a50f-066fbfed06ac,223376632
0bb97d30-b5bb-45d6-b105-e49436cace0e,317051653
0d1428e8-2b88-4314-9b1e-aa664b34a5fe,2925712
0d8b00d2-9e0a-4489-891b-6e663a6fcd10,623678357
17b79ace-0c1e-4812-a6fe-755011a721f9,1629246
18b987bb-2597-4288-a28e-08d7dbce2ee2,1525614
196199f6-1c8f-4be4-83dd-733866d6d558,1449846
19e9aefe-520d-4f30-b24f-de479e6c14d7,21343544
1bc28038-aa5b-4e3d-9ad9-eaf8cbfed677,87470856
1c4b99df-6f74-423e-88e5-653b6cdd3c83,131239
1e389c02-0a09-4b57-9c50-3a74bca12e4f,2034711707
1f34fd87-5598-40e7-ac78-7efd6bd28bdd,22114116
2229824b-e9ca-4f83-804a-e27561cf252e,38950350
22820bda-48eb-45bd-b189-af3253ab57c0,15811861
27e623a1-bca0-461d-8ca4-90db9a4c3eee,29151205
2a69c9d6-c36c-44d5-a5ce-97c1806c0d56,1977083
2f7fe228-05a7-4b72-887d-1c2c23d031fa,3011867
3def29d4-ecec-4efd-994e-121206be05c8,274608161
3ea9f9ed-f985-4d35-b6f2-1f9b70e27550,63588333
3ee65bec-c8c8-482d-ba5c-5c594cc86f2f,349649
4885df43-d6b8-4aa2-ba26-245b24d09e50,17740183
48f4461d-fd66-45f1-a808-b8153b6ae8a1,593165921
490aeb9f-fdf1-4bea-a002-2b294cff0454,83438225
49f6ac32-19ed-442d-b568-852a9ae372f1,13254772
5416e814-8023-4f66-aadb-a063afca2414,5642750708
56ec7b37-b0ca-42a3-b156-281217d57dea,240256359
68221f51-660f-4bed-88e4-680165a9be0c,171160786
69469e96-c2a4-444e-9817-8972476e3a09,112833
6a44ac10-0d34-4cf2-a947-53d8bdd54f10,86163712
6f67ca1a-5a43-449c-847e-5cfac8d98744,152383890
70ff9217-865b-4f97-8967-8e2818048913,632891591
73896fb1-b8d9-4a36-bcbb-5f9a98a55ab6,3364338
7f156edf-e30f-46d7-9036-4de268296f15,655487124
85ec7d3f-bc7a-4c7a-83c6-1685f18f42fb,357529091
89f3395b-5c69-4e06-8abc-8799bf4badd8,66774
8af194ce-e048-498a-8971-748646efcf35,23127832
8b88329d-a168-4590-a664-110db3c90308,7052126
8bfe9f6f-e656-4d44-8f9d-1a78a93a2597,160626894
8cce4515-ed44-4d09-9092-7aef3d046e95,120524785
8d807555-a3fa-493c-82bb-fea5c93082f0,2618865
94c0f61f-9168-41a2-b234-4dc2aeda939c,41831939
978aa54d-1bbb-4f73-bac4-ba7507c27a76,32549568
9bb73af8-6ad9-4825-b17c-4ccc6a8fbcf8,30774161
a8b53d2d-a2fd-4586-ba67-345e182cc919,49697269
a9aa7c1b-9a62-426c-8c22-c9194df2e3eb,398166
a9e2fa19-f29b-4b1b-9830-e17796e7c1d7,71627169
aaaac613-ebb5-4af0-ab62-1675cf0a8b8a,30330406
aeca591d-3294-42de-bb85-c6a484bacd96,494671477
b262d7bb-23ec-475c-8104-c5088e787cb4,1884476
b2d068ec-fbd5-4884-beb0-7ad884773733,10264525
b4fa89b6-1563-4422-845b-a718d7c07cba,21413939
ba15d9e9-7be0-4ea3-b275-650e4118da4a,4169749
bc49d919-2925-472d-8bef-e189c0059ccc,119197498
c7c643ec-2c75-4e24-bb83-86250c2f9cb1,4868311
ca82d801-80c3-4d18-862b-5a75ee8f8bd9,0
cb1eec26-bd87-4585-a3f1-568ad28d3ef2,10939119
ced5d1f3-a9a4-4781-a5df-3ded79758ab3,48030072
cfd8b491-be9f-4f25-a1d5-b7d588e36d8b,460854
d0811fcb-3fcc-41e5-b0f6-cd996b40721e,14145491
d1f48a57-2c48-4512-abd6-90e8c29e5aba,121925318
d71c5836-98d1-411b-8eeb-f154dbb7f78f,116590918
da0820ee-7fb0-430c-a5b9-fa5dbaf72e47,0
ddb361c5-0827-4324-a9ba-ee4fdbf475d9,1278283926
e0b5d4c5-045f-4b26-8baf-d527ab815227,240084
e5d6cff1-5f6b-4468-98d6-84354d1704d0,43860756
eb9e9e28-13b8-4355-a70b-d4ae2a4ba724,98884704
edc4c45b-8d00-4a9f-8787-1effca2aeba4,2070213
f057b926-d44e-4eb4-a802-27ca5231bec2,24387331
f2cfff3b-a8ae-434f-b9e3-1c81a0ba2f81,3952160592
f59f39ff-5230-42bb-acce-7767dc84cd83,3115141
fcb726c7-364f-4252-8ee8-70b0bbbd8791,1602334077
fefa947d-7719-4915-b24f-29a25ab34e80,287901
ff9c05cd-d3f6-4495-b8d6-7e6530a6dcab,82743239
ffaebc24-053e-428e-a84d-be836e4f8a3a,207595230
172a1e9a-f56c-4386-85e1-093d801e4e93,36142460
42876b1c-10af-47c9-a4f9-853fc207f7b0,2183
