crypto_id,exchange_id,exchange_name,exchange_slug
1,"[270, 7680, 21, 9200, 521, 10361, 407, 9867, 1188, 9202, 294, 333, 6137, 5751, 6637, 513, 943, 1653, 1133, 9298, 8961, 1182, 1149, 7618, 433, 10771, 517, 10702, 9218, 406, 1379, 1064, 1247, 8125, 8885, 1645, 10153, 501, 10866, 9920, 7699, 7085, 7302, 102, 9450, 525, 790, 302, 587, 544, 8701, 10770, 351, 5319, 9181, 311, 9586, 215, 1414, 89, 460, 9606, 9584, 1601, 10963, 10922, 9717, 658, 9015, 24, 955, 5750, 453, 350, 6472, 10962, 339, 7850, 8563, 200, 937, 477, 10109, 1117, 10846, 961, 9217, 16, 945, 415, 1411, 330, 9665, 1161, 228, 157, 219, 8112, 10152, 380, 9365, 1131, 1375, 37, 1561, 7451, 1289, 1173, 70, 7893, 8884, 6732, 139, 8790, 520, 1110, 1371, 699, 9332, 1006, 1179, 154, 225, 42, 9798, 8388, 5437, 9613, 1199, 500, 1327, 7845, 867, 857, 243, 516, 1222, 1128, 594, 633, 629, 106, 834, 10885, 1138, 561, 125, 151, 3735, 7421, 1531, 253, 9384, 360, 480, 1452, 1301, 1336, 50, 385, 440, 9588, 1600, 843, 1551, 498, 564, 479, 705, 9108, 174, 795, 1124, 436, 8767, 908, 422, 7557, 487, 1598, 1295, 257, 585, 717, 826, 9649, 1586, 10445, 522, 1145, 7748, 653, 68, 8418, 868, 7373, 622, 1560, 166, 5344, 213, 194, 710, 36, 741, 9662, 258, 890, 988, 9957, 171, 630, 723, 1539, 9786, 949, 599, 1215, 209, 6406, 9452, 354, 567, 224, 7500, 137, 335, 657, 363, 7393, 376, 488, 1504, 261, 80, 1100, 325, 127, 9933, 1029, 73, 364, 922, 731, 7392, 1679, 491, 250, 1235, 5455, 96, 370, 1011, 844, 1254, 1009, 378, 34, 1428, 10599, 603, 1524, 863, 802, 61, 756, 8617, 201, 419, 252, 321, 248, 369, 425, 1037, 10783, 10946]","['Binance', 'DOEX', 'BTCC', 'Zedcex Exchange', 'Bybit', 'CoinUp.io', 'DigiFinex', 'KCEX', 'BYDFi', '4E', 'OKX', 'LBank', 'Toobit', 'WEEX', 'BloFin', 'Bitget', 'Hotcoin', 'ZOOMEX', 'TruBit Pro Exchange', 'BiKing', 'BlueBit', 'Deepcoin', 'Crypto.com Exchange', 'BVOX', 'Bitrue', 'BXTEN', 'CoinW', 'Coin8 Exchange', 'Hibt', 'BitMart', 'Batonex', 'BingX', 'FameEX', 'OrangeX', 'UEEx', 'Tapbit', 'Ourbit', 'WhiteBIT', '3EX', 'FutureX Pro', 'BIKA', 'Fairdesk', 'Bitunix', 'HTX', 'Zedxion Exchange', 'XT.COM', 'Pionex', 'Gate.io', 'IndoEx', 'MEXC', 'Millionero', 'Aibit', 'Upbit', 'SuperEx', 'UZX', 'KuCoin', 'Bitop', 'P2B', 'Kine Protocol', 'Coinbase Exchange', 'Coinsbit', 'BiFinance', 'B2Z Exchange', 'Bullish', 'BITmarkets', 'Megabit', 'Koinbay', 'BTSE', 'Websea', 'Kraken', 'Phemex', 'HKD.com', 'AscendEX (BitMax)', 'CoinEx', 'Flipster', 'Skybit', 'Bibox', 'Bitcastle', 'BITFLEX', 'Bithumb', 'Biconomy.com', 'ProBit Global', 'Niza Global', 'Azbit', 'TNNS PROX', 'Bitspay', 'GroveX', 'Poloniex', 'SWFT Trade', 'Bilaxy', 'Coinstore', 'BigONE', 'ZKE', 'BIT', 'BTC-Alpha', 'BitMEX', 'Tidex', 'Hyperliquid', 'FIXT', 'LATOKEN', 'AlphaX', 'Bitcoiva', 'Binance TR', 'Bitfinex', 'Bit2Me', 'CoinCatch', 'WOO X', 'LMAX Digital', 'Bitstamp', 'Coinbase International Exchange', 'FMCPAY', 'Vertex Protocol', 'bitFlyer', 'dYdX v4', 'Bitvavo', 'PrimeXBT', 'Globe Derivative Exchange', 'Currency.com', 'SynFutures v3', 'Jubi', 'ACDX', 'Dex-Trade', 'Paribu', 'HitBTC', 'HashKey Global', 'Salavi Exchange', 'Apex Protocol', 'Slex Exchange', 'PointPay', 'Tokenize Xchange', 'THORChain', 'Coincall', 'Qmall Exchange', 'FMFW.io', 'BtcTurk | Kripto', 'dYdX', 'Gleec BTC', 'Changelly PRO', 'Bitci TR', 'Mandala Exchange', 'Ecxx', 'Coincheck', 'Nominex', 'Orderly Network (EVM)', 'Bitexen', 'PayBito', 'Bitso', 'Gemini', 'ICRYPEX', 'Fastex', 'NexDAX', 'LocalTrade', 'BitDelta', 'C-Patex', 'Cat.Ex', 'APX', 'Perpetual Protocol', 'Quidax', 'EXMO', 'Cryptonex', 'Cryptology', 'Welcoin', 'OKCoin Japan', 'BitHash', 'Helix', 'Polyx', 'SecondBTC', 'Dcoin', 'Delta Exchange', 'ChangeNOW', 'Coinone', 'HashKey Exchange', 'Bitazza', 'Bitkub', 'ONUS Pro', 'VALR', 'ABCC', 'EXMO.ME', 'VinDAX', 'Dexalot', 'LCX Exchange', 'Bitbank', 'BitStorage', 'BitoPro', 'BCEX Korea', 'Coinavenir', 'Drift Protocol', 'Ebi.xyz', 'Deribit', 'KoinBX', 'Topcredit Int', 'BITEXLIVE', 'Indodax', 'APX v2 (BSC)', 'MAX Exchange', 'Koinpark', 'NovaDAX', 'Kine Protocol (Polygon)', 'Independent Reserve', 'Coins.ph', 'Mercatox', 'Korbit', 'Tokocrypto', 'CEX.IO', 'ACE', 'Binance TH', 'Mercado Bitcoin', 'Bitay', 'BitTrade', 'Cube Exchange', 'Luno', 'Binance.US', 'Reku', 'PowerTrade', 'CoinLion', 'CoinDCX', 'BankCEX', 'Foxbit', 'Kuna', 'Bitlo', 'Backpack Exchange', 'TradeOgre', 'Remitano', 'BTC Markets', 'XeggeX', 'CoinCorner', 'GOPAX', 'CoinJar', 'Fatbtc', 'GMX (Avalanche)', 'Bitbns', 'Coinmetro', 'SynFutures v2', 'Altcoin Trader', 'Coinmate', 'Ripio', 'Orbix', 'BTCBOX', 'Crypton Exchange', 'CoinZoom', 'Zaif', 'Paymium', 'StormGain', 'Emirex', 'GMX (Arbitrum)', 'BIT.TEAM', 'SafeTrade', 'Buda', 'DeFiChain DEX', 'Orderly Network', 'Bitonic', 'ZebPay', 'Coinlist Pro', 'NiceHash', 'Blockchain.com', 'Giottus', 'Unocoin', 'Bittylicious', 'Balanced', 'Digitra.com', '50x', 'Bitcoin.me', 'StakeCube', 'digitalexchange.id', 'Okcoin', 'ViteX', 'M2', 'Lykke Exchange', 'Graviex', 'BTC Trade UA', 'Coinut', 'Koinim', 'RuDEX', 'WazirX', 'Flybit', 'HyperPay Futures', 'XEX']","['binance', 'doex', 'btcc', 'zedcex-exchange', 'bybit', 'coinup-io', 'digifinex', 'kcex', 'bydfi', '4e', 'okx', 'lbank', 'toobit', 'weex', 'blofin', 'bitget', 'hotcoin-global', 'zoomex', 'trubit-exchange', 'biking', 'bluebit', 'deepcoin', 'crypto-com-exchange', 'bvox', 'bitrue', 'bxten', 'coinw', 'coin8-exchange', 'hibt', 'bitmart', 'wisebitcoin', 'bingx', 'fameex', 'orangex', 'ueex', 'tapbit', 'ourbit', 'whitebit', '3ex', 'futurex', 'bika', 'fairdesk', 'bitunix', 'htx', 'zedxion-exchange', 'xt', 'pionex', 'gate-io', 'indoex', 'mexc', 'millionero', 'aibit', 'upbit', 'superex', 'uzx', 'kucoin', 'bitop', 'p2b', 'kine-protocol', 'coinbase-exchange', 'coinsbit', 'bifinance-exchange', 'b2z-exchange', 'bullish', 'bitmarkets', 'megabit', 'koinbay', 'btse', 'websea', 'kraken', 'phemex', 'hkd', 'ascendex', 'coinex', 'flipster', 'skybit', 'bibox', 'bitcastle', 'bitflex', 'bithumb', 'biconomy', 'probit-exchange', 'niza-global', 'azbit', 'tnns-prox', 'bitspay', 'grovex', 'poloniex', 'swft-octopus-trade', 'bilaxy', 'coinstore', 'bigone', 'zke', 'bit-com', 'btc-alpha', 'bitmex', 'tidex', 'hyperliquid', 'fixt', 'latoken', 'alphax', 'bitcoiva', 'binance-tr', 'bitfinex', 'bit2me', 'coincatch', 'woox', 'lmax-digital', 'bitstamp', 'coinbase-international-exchange', 'fmcpay-exchange', 'vertex-protocol', 'bitflyer', 'dydx-v4', 'bitvavo', 'primexbt', 'globe-derivative-exchange', 'currency-com', 'synfutures-v3', 'jubi-exchange', 'acdx', 'dex-trade', 'paribu', 'hitbtc', 'hashkey-global', 'salavi-exchange', 'apex-protocol', 'slex-exchange', 'pointpay', 'tokenize-xchange', 'thorchain-erc20', 'coincall', 'qmall', 'bitcoin-com-exchange', 'btcturk-kripto', 'dydx', 'gleec-btc', 'changelly-pro', 'bitci', 'mandala', 'ecxx', 'coincheck', 'nominex', 'orderly-network-evm', 'bitexen', 'paybito', 'bitso', 'gemini', 'icrypex', 'fastex', 'nexdax', 'localtrade', 'bitdelta', 'c-patex', 'catex', 'apollox', 'perpetual-protocol', 'quidax', 'exmo', 'cryptonex', 'cryptology', 'welcoin', 'okcoin-japan', 'bithash', 'injective-protocol', 'polyx', 'secondbtc', 'dcoin', 'delta-exchange', 'changenow', 'coinone', 'hashkey-exchange', 'bitazza', 'bitkub', 'onus-pro', 'valr', 'abcc', 'exmo-me', 'vindax', 'dexalot', 'lcx-exchange', 'bitbank', 'bitstorage', 'bitopro', 'bcex-korea', 'coinavenir', 'drift-protocol', 'ebi-xyz', 'deribit', 'koinbx', 'topcredit-int', 'bitexlive', 'indodax', 'apollox-v2-bsc', 'max-exchange', 'koinpark', 'novadax', 'kine-protocol-polygon', 'independent-reserve', 'coins-pro', 'mercatox', 'korbit', 'tokocrypto', 'cex-io', 'ace', 'binance-th', 'mercado-bitcoin', 'bitay', 'bittrade', 'cube-exchange', 'luno', 'binance-us', 'rekeningku-com', 'powertrade', 'coinlion', 'coindcx', 'bankcex', 'foxbit', 'kuna', 'bitlo', 'backpack-exchange', 'tradeogre', 'remitano', 'btc-markets', 'xeggex', 'coincorner', 'gopax', 'coinjar', 'fatbtc', 'gmx-avalanche', 'bitbns', 'coinmetro', 'synfutures', 'altcoin-trader', 'coinmate', 'ripio', 'satang-pro', 'btcbox', 'crypton-exchange', 'coinzoom', 'zaif', 'paymium', 'stormgain', 'emirex', 'gmx-arbitrum', 'bit-team', 'safetrade', 'buda', 'defichain-dex', 'orderly-network', 'bitonic', 'zebpay', 'coinlist-pro', 'nicehash', 'blockchain-com-exchange', 'giottus', 'unocoin', 'bittylicious', 'balanced', 'digitra-com', '50x', 'klever-exchange', 'stakecube', 'digitalexchange-id', 'okcoin', 'vitex', 'm2', 'lykke-exchange', 'graviex', 'btc-trade-ua', 'coinut', 'koinim', 'rudex', 'wazirx', 'flybit', 'hyperpay-futures', 'xex']"
10040,"[302, 380, 6706, 1344, 1281, 1302]","['Gate.io', 'LATOKEN', 'PancakeSwap v3 (BSC)', 'PancakeSwap v2 (BSC)', 'ApeSwap (BSC)', 'BakerySwap']","['gate-io', 'latoken', 'pancakeswap-v3', 'pancakeswap-v2', 'apeswap', 'bakeryswap']"
10046,"[102, 302, 544, 350, 1069]","['HTX', 'Gate.io', 'MEXC', 'CoinEx', 'Uniswap v2']","['htx', 'gate-io', 'mexc', 'coinex', 'uniswap-v2']"
10047,"[433, 102, 302, 311, 350, 6706, 1069, 1344, 6444]","['Bitrue', 'HTX', 'Gate.io', 'KuCoin', 'CoinEx', 'PancakeSwap v3 (BSC)', 'Uniswap v2', 'PancakeSwap v2 (BSC)', 'Uniswap v3 (BSC)']","['bitrue', 'htx', 'gate-io', 'kucoin', 'coinex', 'pancakeswap-v3', 'uniswap-v2', 'pancakeswap-v2', 'uniswap-bsc']"
10180,"[333, 513, 406, 1064, 102, 525, 302, 544, 955, 350, 1161, 37, 1348, 6706, 1344]","['LBank', 'Bitget', 'BitMart', 'BingX', 'HTX', 'XT.COM', 'Gate.io', 'MEXC', 'Phemex', 'CoinEx', 'BIT', 'Bitfinex', 'Uniswap v3 (Ethereum)', 'PancakeSwap v3 (BSC)', 'PancakeSwap v2 (BSC)']","['lbank', 'bitget', 'bitmart', 'bingx', 'htx', 'xt', 'gate-io', 'mexc', 'phemex', 'coinex', 'bit-com', 'bitfinex', 'uniswap-v3', 'pancakeswap-v3', 'pancakeswap-v2']"
10269,"[1612, 1426, 1342, 9883]","['Jupiter', 'Orca', 'Raydium', 'Meteora VP']","['jupiter', 'orca', 'raydium', 'meteora-vp']"
1027,"[270, 7680, 21, 9200, 521, 10361, 407, 9867, 1188, 9202, 294, 333, 6137, 5751, 6637, 513, 943, 9449, 1653, 1133, 9298, 8961, 1182, 1149, 7618, 433, 10771, 517, 10702, 9218, 406, 1379, 1064, 1247, 8125, 8885, 1645, 10153, 501, 10866, 9920, 7699, 7085, 7302, 102, 9450, 525, 790, 302, 587, 544, 8701, 10770, 351, 5319, 9181, 311, 9586, 215, 1414, 89, 460, 9606, 9584, 1601, 10963, 10922, 9717, 658, 1234, 9015, 24, 955, 5750, 453, 350, 6472, 10962, 339, 7850, 8563, 200, 937, 477, 10109, 1117, 10846, 961, 9217, 16, 945, 415, 1411, 330, 9665, 1161, 228, 157, 219, 8112, 10152, 380, 9365, 1131, 1375, 37, 1561, 7451, 1289, 1612, 1173, 70, 7893, 8884, 6732, 139, 8790, 520, 1110, 1371, 699, 9332, 6706, 1006, 1179, 154, 225, 42, 9798, 8388, 5437, 9613, 1199, 500, 1327, 7845, 867, 857, 243, 516, 1222, 1128, 594, 633, 629, 834, 10885, 1138, 561, 125, 151, 3735, 7421, 1531, 253, 9384, 360, 480, 1452, 1301, 1336, 50, 385, 440, 9588, 1600, 843, 1551, 498, 1344, 564, 479, 705, 9108, 174, 1261, 795, 1124, 436, 8767, 908, 422, 7557, 487, 1598, 1295, 257, 6407, 1675, 585, 717, 826, 9649, 10445, 522, 1145, 7748, 653, 68, 8418, 868, 7373, 6444, 622, 166, 5344, 213, 194, 710, 36, 741, 9662, 258, 890, 988, 9957, 1447, 171, 630, 723, 514, 1539, 9786, 949, 599, 1215, 209, 1250, 6406, 9452, 354, 567, 9329, 224, 7500, 335, 657, 363, 7393, 376, 488, 261, 80, 1100, 325, 1029, 73, 922, 731, 1329, 7392, 1679, 491, 267, 250, 1165, 1235, 1445, 5455, 370, 1510, 1011, 8977, 7071, 1281, 5803, 1254, 983, 1407, 1009, 378, 34, 1428, 249, 1101, 10599, 603, 1524, 1487, 863, 1279, 3596, 1584, 246, 644, 802, 1302, 1187, 61, 1657, 756, 8617, 201, 1931, 1370, 6007, 8001, 1599, 8002, 419, 252, 1515, 1528, 321, 248, 1685, 5430, 7440, 1413, 8877, 1577, 7084, 369, 425, 1037, 1071, 1441, 10783, 10946]","['Binance', 'DOEX', 'BTCC', 'Zedcex Exchange', 'Bybit', 'CoinUp.io', 'DigiFinex', 'KCEX', 'BYDFi', '4E', 'OKX', 'LBank', 'Toobit', 'WEEX', 'BloFin', 'Bitget', 'Hotcoin', 'Bitoy', 'ZOOMEX', 'TruBit Pro Exchange', 'BiKing', 'BlueBit', 'Deepcoin', 'Crypto.com Exchange', 'BVOX', 'Bitrue', 'BXTEN', 'CoinW', 'Coin8 Exchange', 'Hibt', 'BitMart', 'Batonex', 'BingX', 'FameEX', 'OrangeX', 'UEEx', 'Tapbit', 'Ourbit', 'WhiteBIT', '3EX', 'FutureX Pro', 'BIKA', 'Fairdesk', 'Bitunix', 'HTX', 'Zedxion Exchange', 'XT.COM', 'Pionex', 'Gate.io', 'IndoEx', 'MEXC', 'Millionero', 'Aibit', 'Upbit', 'SuperEx', 'UZX', 'KuCoin', 'Bitop', 'P2B', 'Kine Protocol', 'Coinbase Exchange', 'Coinsbit', 'BiFinance', 'B2Z Exchange', 'Bullish', 'BITmarkets', 'Megabit', 'Koinbay', 'BTSE', 'Venus', 'Websea', 'Kraken', 'Phemex', 'HKD.com', 'AscendEX (BitMax)', 'CoinEx', 'Flipster', 'Skybit', 'Bibox', 'Bitcastle', 'BITFLEX', 'Bithumb', 'Biconomy.com', 'ProBit Global', 'Niza Global', 'Azbit', 'TNNS PROX', 'Bitspay', 'GroveX', 'Poloniex', 'SWFT Trade', 'Bilaxy', 'Coinstore', 'BigONE', 'ZKE', 'BIT', 'BTC-Alpha', 'BitMEX', 'Tidex', 'Hyperliquid', 'FIXT', 'LATOKEN', 'AlphaX', 'Bitcoiva', 'Binance TR', 'Bitfinex', 'Bit2Me', 'CoinCatch', 'WOO X', 'Jupiter', 'LMAX Digital', 'Bitstamp', 'Coinbase International Exchange', 'FMCPAY', 'Vertex Protocol', 'bitFlyer', 'dYdX v4', 'Bitvavo', 'PrimeXBT', 'Globe Derivative Exchange', 'Currency.com', 'SynFutures v3', 'PancakeSwap v3 (BSC)', 'Jubi', 'ACDX', 'Dex-Trade', 'Paribu', 'HitBTC', 'HashKey Global', 'Salavi Exchange', 'Apex Protocol', 'Slex Exchange', 'PointPay', 'Tokenize Xchange', 'THORChain', 'Coincall', 'Qmall Exchange', 'FMFW.io', 'BtcTurk | Kripto', 'dYdX', 'Gleec BTC', 'Changelly PRO', 'Bitci TR', 'Mandala Exchange', 'Ecxx', 'Nominex', 'Orderly Network (EVM)', 'Bitexen', 'PayBito', 'Bitso', 'Gemini', 'ICRYPEX', 'Fastex', 'NexDAX', 'LocalTrade', 'BitDelta', 'C-Patex', 'Cat.Ex', 'APX', 'Perpetual Protocol', 'Quidax', 'EXMO', 'Cryptonex', 'Cryptology', 'Welcoin', 'OKCoin Japan', 'BitHash', 'Helix', 'Polyx', 'PancakeSwap v2 (BSC)', 'SecondBTC', 'Dcoin', 'Delta Exchange', 'ChangeNOW', 'Coinone', 'OpenOcean', 'HashKey Exchange', 'Bitazza', 'Bitkub', 'ONUS Pro', 'VALR', 'ABCC', 'EXMO.ME', 'VinDAX', 'Dexalot', 'LCX Exchange', 'Bitbank', 'THENA FUSION', 'WOOFi', 'BitStorage', 'BitoPro', 'BCEX Korea', 'Coinavenir', 'Ebi.xyz', 'Deribit', 'KoinBX', 'Topcredit Int', 'BITEXLIVE', 'Indodax', 'APX v2 (BSC)', 'MAX Exchange', 'Koinpark', 'Uniswap v3 (BSC)', 'NovaDAX', 'Independent Reserve', 'Coins.ph', 'Mercatox', 'Korbit', 'Tokocrypto', 'CEX.IO', 'ACE', 'Binance TH', 'Mercado Bitcoin', 'Bitay', 'BitTrade', 'Cube Exchange', 'Osmosis', 'Luno', 'Binance.US', 'Reku', 'Finexbox', 'PowerTrade', 'CoinLion', 'CoinDCX', 'BankCEX', 'Foxbit', 'Kuna', 'Tokpie', 'Bitlo', 'Backpack Exchange', 'TradeOgre', 'Remitano', 'DeGate', 'BTC Markets', 'XeggeX', 'GOPAX', 'CoinJar', 'Fatbtc', 'GMX (Avalanche)', 'Bitbns', 'Coinmetro', 'Altcoin Trader', 'Coinmate', 'Ripio', 'Orbix', 'CoinZoom', 'Zaif', 'StormGain', 'Emirex', 'MDEX (BSC)', 'GMX (Arbitrum)', 'BIT.TEAM', 'SafeTrade', 'Bancor Network', 'Buda', 'PancakeSwap', 'DeFiChain DEX', 'Biswap v2', 'Orderly Network', 'ZebPay', 'Ref Finance', 'Coinlist Pro', 'SquadSwap v2', 'SmarDex', 'ApeSwap (BSC)', 'THENA', 'Blockchain.com', 'Loopring Exchange', 'Sovryn', 'Giottus', 'Unocoin', 'Bittylicious', 'Balanced', 'StellarTerm', 'Polkaswap', 'Digitra.com', '50x', 'Bitcoin.me', 'Orion (BSC)', 'StakeCube', 'MDEX', 'Baby Doge Swap', 'KnightSwap', 'WX Network', 'FOBLGATE', 'digitalexchange.id', 'BakerySwap', 'DODO (Ethereum)', 'Okcoin', 'Nomiswap', 'ViteX', 'M2', 'Lykke Exchange', 'Alita Finance', 'WardenSwap', 'Defi Kingdoms (Klaytn)', 'Jedi Swap', 'ClaimSwap', '10K Swap', 'Graviex', 'BTC Trade UA', 'Wagyuswap', 'MakiSwap', 'Coinut', 'Koinim', 'Fstswap', 'Kyotoswap', 'Klayswap v3', 'SushiSwap (BSC)', 'SithSwap', 'Spartan Protocol', 'AmpleSwap', 'RuDEX', 'WazirX', 'Flybit', 'APROBIT', 'OpenLeverage', 'HyperPay Futures', 'XEX']","['binance', 'doex', 'btcc', 'zedcex-exchange', 'bybit', 'coinup-io', 'digifinex', 'kcex', 'bydfi', '4e', 'okx', 'lbank', 'toobit', 'weex', 'blofin', 'bitget', 'hotcoin-global', 'bitoy', 'zoomex', 'trubit-exchange', 'biking', 'bluebit', 'deepcoin', 'crypto-com-exchange', 'bvox', 'bitrue', 'bxten', 'coinw', 'coin8-exchange', 'hibt', 'bitmart', 'wisebitcoin', 'bingx', 'fameex', 'orangex', 'ueex', 'tapbit', 'ourbit', 'whitebit', '3ex', 'futurex', 'bika', 'fairdesk', 'bitunix', 'htx', 'zedxion-exchange', 'xt', 'pionex', 'gate-io', 'indoex', 'mexc', 'millionero', 'aibit', 'upbit', 'superex', 'uzx', 'kucoin', 'bitop', 'p2b', 'kine-protocol', 'coinbase-exchange', 'coinsbit', 'bifinance-exchange', 'b2z-exchange', 'bullish', 'bitmarkets', 'megabit', 'koinbay', 'btse', 'venus', 'websea', 'kraken', 'phemex', 'hkd', 'ascendex', 'coinex', 'flipster', 'skybit', 'bibox', 'bitcastle', 'bitflex', 'bithumb', 'biconomy', 'probit-exchange', 'niza-global', 'azbit', 'tnns-prox', 'bitspay', 'grovex', 'poloniex', 'swft-octopus-trade', 'bilaxy', 'coinstore', 'bigone', 'zke', 'bit-com', 'btc-alpha', 'bitmex', 'tidex', 'hyperliquid', 'fixt', 'latoken', 'alphax', 'bitcoiva', 'binance-tr', 'bitfinex', 'bit2me', 'coincatch', 'woox', 'jupiter', 'lmax-digital', 'bitstamp', 'coinbase-international-exchange', 'fmcpay-exchange', 'vertex-protocol', 'bitflyer', 'dydx-v4', 'bitvavo', 'primexbt', 'globe-derivative-exchange', 'currency-com', 'synfutures-v3', 'pancakeswap-v3', 'jubi-exchange', 'acdx', 'dex-trade', 'paribu', 'hitbtc', 'hashkey-global', 'salavi-exchange', 'apex-protocol', 'slex-exchange', 'pointpay', 'tokenize-xchange', 'thorchain-erc20', 'coincall', 'qmall', 'bitcoin-com-exchange', 'btcturk-kripto', 'dydx', 'gleec-btc', 'changelly-pro', 'bitci', 'mandala', 'ecxx', 'nominex', 'orderly-network-evm', 'bitexen', 'paybito', 'bitso', 'gemini', 'icrypex', 'fastex', 'nexdax', 'localtrade', 'bitdelta', 'c-patex', 'catex', 'apollox', 'perpetual-protocol', 'quidax', 'exmo', 'cryptonex', 'cryptology', 'welcoin', 'okcoin-japan', 'bithash', 'injective-protocol', 'polyx', 'pancakeswap-v2', 'secondbtc', 'dcoin', 'delta-exchange', 'changenow', 'coinone', 'openocean', 'hashkey-exchange', 'bitazza', 'bitkub', 'onus-pro', 'valr', 'abcc', 'exmo-me', 'vindax', 'dexalot', 'lcx-exchange', 'bitbank', 'thena-v2', 'woofi', 'bitstorage', 'bitopro', 'bcex-korea', 'coinavenir', 'ebi-xyz', 'deribit', 'koinbx', 'topcredit-int', 'bitexlive', 'indodax', 'apollox-v2-bsc', 'max-exchange', 'koinpark', 'uniswap-bsc', 'novadax', 'independent-reserve', 'coins-pro', 'mercatox', 'korbit', 'tokocrypto', 'cex-io', 'ace', 'binance-th', 'mercado-bitcoin', 'bitay', 'bittrade', 'cube-exchange', 'osmosis', 'luno', 'binance-us', 'rekeningku-com', 'finexbox', 'powertrade', 'coinlion', 'coindcx', 'bankcex', 'foxbit', 'kuna', 'tokpie', 'bitlo', 'backpack-exchange', 'tradeogre', 'remitano', 'degate', 'btc-markets', 'xeggex', 'gopax', 'coinjar', 'fatbtc', 'gmx-avalanche', 'bitbns', 'coinmetro', 'altcoin-trader', 'coinmate', 'ripio', 'satang-pro', 'coinzoom', 'zaif', 'stormgain', 'emirex', 'mdex-bsc', 'gmx-arbitrum', 'bit-team', 'safetrade', 'bancor-network', 'buda', 'pancakeswap', 'defichain-dex', 'biswap', 'orderly-network', 'zebpay', 'ref-finance', 'coinlist-pro', 'squadswap-v2', 'smardex', 'apeswap', 'thena', 'blockchain-com-exchange', 'loopring-exchange', 'sovryn', 'giottus', 'unocoin', 'bittylicious', 'balanced', 'stellar-decentralized-exchange', 'polkaswap', 'digitra-com', '50x', 'klever-exchange', 'orion-bsc', 'stakecube', 'mdex', 'baby-doge-swap', 'knightswap', 'waves-exchange', 'foblgate', 'digitalexchange-id', 'bakeryswap', 'dodo', 'okcoin', 'nomiswap', 'vitex', 'm2', 'lykke-exchange', 'alita-finance', 'wardenswap', 'defi-kingdoms-klaytn', 'jediswap', 'claimswap', '10k-swap', 'graviex', 'btc-trade-ua', 'wagyuswap', 'makiswap', 'coinut', 'koinim', 'fstswap', 'kyotoswap', 'klayswap-v3', 'sushiswap-bsc', 'sithswap', 'spartan-protocol', 'ampleswap', 'rudex', 'wazirx', 'flybit', 'aprobit', 'openleverage', 'hyperpay-futures', 'xex']"
10275,"[6706, 1344]","['PancakeSwap v3 (BSC)', 'PancakeSwap v2 (BSC)']","['pancakeswap-v3', 'pancakeswap-v2']"
10285,[477],['ProBit Global'],['probit-exchange']
10294,"[302, 350, 1612, 1426, 1342]","['Gate.io', 'CoinEx', 'Jupiter', 'Orca', 'Raydium']","['gate-io', 'coinex', 'jupiter', 'orca', 'raydium']"
10334,"[302, 544, 350, 380, 1344, 1496]","['Gate.io', 'MEXC', 'CoinEx', 'LATOKEN', 'PancakeSwap v2 (BSC)', 'Dinosaur Eggs']","['gate-io', 'mexc', 'coinex', 'latoken', 'pancakeswap-v2', 'dinosaur-eggs']"
1037,"[9298, 302, 544, 477, 1348, 7500, 491]","['BiKing', 'Gate.io', 'MEXC', 'ProBit Global', 'Uniswap v3 (Ethereum)', 'XeggeX', 'SafeTrade']","['biking', 'gate-io', 'mexc', 'probit-exchange', 'uniswap-v3', 'xeggex', 'safetrade']"
10407,"[521, 9867, 294, 333, 513, 6637, 1182, 433, 406, 1064, 1645, 102, 525, 302, 544, 311, 937, 350, 477, 16, 330, 380, 9365, 1348, 1069, 1336, 1344, 9108, 1124, 622, 1009]","['Bybit', 'KCEX', 'OKX', 'LBank', 'Bitget', 'BloFin', 'Deepcoin', 'Bitrue', 'BitMart', 'BingX', 'Tapbit', 'HTX', 'XT.COM', 'Gate.io', 'MEXC', 'KuCoin', 'Biconomy.com', 'CoinEx', 'ProBit Global', 'Poloniex', 'BigONE', 'LATOKEN', 'AlphaX', 'Uniswap v3 (Ethereum)', 'Uniswap v2', 'Quidax', 'PancakeSwap v2 (BSC)', 'ChangeNOW', 'Bitazza', 'NovaDAX', 'Giottus']","['bybit', 'kcex', 'okx', 'lbank', 'bitget', 'blofin', 'deepcoin', 'bitrue', 'bitmart', 'bingx', 'tapbit', 'htx', 'xt', 'gate-io', 'mexc', 'kucoin', 'biconomy', 'coinex', 'probit-exchange', 'poloniex', 'bigone', 'latoken', 'alphax', 'uniswap-v3', 'uniswap-v2', 'quidax', 'pancakeswap-v2', 'changenow', 'bitazza', 'novadax', 'giottus']"
10409,"[9867, 513, 517, 9218, 102, 302, 544, 311, 453, 350, 7475, 440, 1344, 5101]","['KCEX', 'Bitget', 'CoinW', 'Hibt', 'HTX', 'Gate.io', 'MEXC', 'KuCoin', 'AscendEX (BitMax)', 'CoinEx', 'Camelot v3', 'Cryptology', 'PancakeSwap v2 (BSC)', 'Camelot']","['kcex', 'bitget', 'coinw', 'hibt', 'htx', 'gate-io', 'mexc', 'kucoin', 'ascendex', 'coinex', 'camelot-v3', 'cryptology', 'pancakeswap-v2', 'camelot']"
10414,"[302, 544, 453]","['Gate.io', 'MEXC', 'AscendEX (BitMax)']","['gate-io', 'mexc', 'ascendex']"
